date,pm25,pm10,o3,no2,so2,co
3/2/22,86,,,,,
2/2/22,90,24,32,2,4,4
2/3/22,66,29,41,3,5,5
2/4/22,74,29,43,3,4,2
2/5/22,80,25,32,4,4,2
2/6/22,72,10,37,2,3,2
2/7/22,29,13,45,3,4,2
2/8/22,42,21,40,3,5,2
2/9/22,51,17,44,3,4,2
2/10/22,55,20,46,4,4,2
2/11/22,64,32,46,5,4,2
2/12/22,91,43,52,7,4,3
2/13/22,113,38,51,9,5,2
2/14/22,98,54,55,15,5,5
2/15/22,133,42,50,6,5,3
2/16/22,104,33,48,5,5,3
2/17/22,86,28,40,5,3,2
2/18/22,72,28,42,7,4,3
2/19/22,70,46,27,12,4,5
2/20/22,110,15,25,5,4,4
2/21/22,51,19,22,5,4,4
2/22/22,66,15,31,4,4,5
2/23/22,46,40,38,6,5,5
2/24/22,113,34,37,8,4,4
2/25/22,95,30,44,5,4,3
2/26/22,82,36,48,6,3,2
2/27/22,88,28,41,7,2,2
2/28/22,70,28,46,8,2,2
3/1/22,69,38,49,13,4,4
1/4/22,60,24,31,7,2,3
1/5/22,45,23,32,9,3,3
1/6/22,52,21,33,9,3,2
1/7/22,48,26,33,11,3,2
1/8/22,49,22,34,8,3,2
1/9/22,51,33,35,14,3,3
1/10/22,73,20,35,6,2,1
1/11/22,45,28,35,7,2,4
1/12/22,71,25,32,10,2,3
1/13/22,56,24,33,10,3,3
1/14/22,55,22,33,5,2,2
1/15/22,51,20,28,9,3,3
1/16/22,52,25,19,11,2,4
1/17/22,65,24,27,8,3,3
1/18/22,63,38,32,17,3,3
1/19/22,86,39,23,17,3,4
1/20/22,72,13,31,9,3,2
1/21/22,43,16,24,10,3,3
1/22/22,48,11,34,5,2,2
1/23/22,31,13,38,3,2,1
1/24/22,36,23,38,6,3,2
1/25/22,65,26,33,4,2,3
1/26/22,73,19,35,4,2,2
1/27/22,55,15,31,4,2,3
1/28/22,54,14,33,4,2,2
1/29/22,50,16,38,3,3,1
1/30/22,49,25,38,7,3,2
1/31/22,75,25,16,4,4,6
2/1/22,68,34,35,2,6,5
10/2/21,57,34,36,8,2,3
10/3/21,74,19,30,5,3,2
10/4/21,43,14,25,4,2,2
10/5/21,21,18,30,4,3,2
10/6/21,46,25,39,8,3,2
10/7/21,58,30,36,7,2,2
10/8/21,76,31,38,5,3,2
10/9/21,81,30,48,3,2,2
10/10/21,75,17,25,5,1,2
10/11/21,39,10,22,3,1,3
10/12/21,24,22,27,4,2,3
10/13/21,57,18,23,4,2,1
10/14/21,46,13,19,4,2,2
10/15/21,30,11,19,4,2,3
10/16/21,20,11,19,3,1,2
10/17/21,28,16,22,5,3,2
10/18/21,46,21,29,6,3,3
10/19/21,44,16,22,5,2,2
10/20/21,40,17,19,6,2,3
10/21/21,31,14,15,6,2,3
