date,pm25,o3,no2,co
3/2/22,32,,,
2/2/22,53,6,,5
2/3/22,54,4,,5
2/4/22,49,21,,3
2/5/22,29,26,,2
2/6/22,59,20,,2
2/7/22,31,6,32,6
2/8/22,53,26,19,3
2/9/22,49,15,26,3
2/10/22,56,26,29,4
2/11/22,40,29,30,4
2/12/22,43,27,14,2
2/13/22,39,20,6,2
2/14/22,33,26,,2
2/15/22,48,25,,2
2/16/22,46,24,,3
2/17/22,35,27,,2
2/18/22,35,29,,1
2/19/22,36,31,,2
2/20/22,35,28,,2
2/21/22,32,16,,3
2/22/22,49,24,,5
2/23/22,56,28,,2
2/24/22,44,22,,1
2/25/22,29,19,,2
2/26/22,31,28,,2
2/27/22,46,33,,2
2/28/22,46,29,,1
3/1/22,32,27,,3
1/4/22,29,18,,2
1/5/22,77,12,,3
1/6/22,114,18,,2
1/7/22,113,21,,2
1/8/22,112,25,,2
1/9/22,108,,,
1/10/22,113,25,,1
1/11/22,111,22,16,2
1/12/22,79,12,28,3
1/13/22,52,1,42,8
1/14/22,73,20,19,3
1/15/22,54,22,12,2
1/16/22,46,23,15,2
1/17/22,47,25,9,2
1/18/22,40,26,,1
1/19/22,56,16,,3
1/20/22,49,22,,2
1/21/22,51,24,,2
1/22/22,39,20,,2
1/23/22,41,19,,2
1/24/22,55,18,,3
1/25/22,64,23,,2
1/26/22,72,25,,2
1/27/22,39,20,,3
1/28/22,47,12,,4
1/29/22,52,28,,2
1/30/22,34,26,,2
1/31/22,46,18,,4
2/1/22,55,23,,4
10/2/21,95,34,,2
10/3/21,98,,,
10/4/21,107,,,
10/5/21,110,,,
10/6/21,101,,,
10/7/21,98,,,
10/8/21,107,,,
10/9/21,108,,,
10/10/21,101,,,
10/11/21,97,,,
10/12/21,99,,,
10/13/21,106,,,
10/14/21,104,,,
10/15/21,104,,,
10/16/21,107,,,
10/17/21,107,,,
10/18/21,93,,,
10/19/21,86,,,
10/20/21,91,,,
10/21/21,95,,17,
10/22/21,101,,9,
10/23/21,102,,6,
10/24/21,91,,11,
10/25/21,89,,20,
10/26/21,106,,8,
10/27/21,105,,3,
10/28/21,92,,,
10/29/21,88,25,,1
10/30/21,90,23,10,1
10/31/21,99,19,8,2
11/1/21,97,23,11,1
11/2/21,90,18,17,2
11/3/21,90,20,12,2
11/4/21,91,22,17,2
11/5/21,91,21,19,2
11/6/21,92,24,,3
11/7/21,86,23,,3
11/8/21,88,28,,3
11/9/21,89,27,,5
11/10/21,96,27,,4
11/11/21,97,25,,3
11/12/21,97,31,,1
11/13/21,101,25,,4
11/14/21,96,13,,2
11/15/21,93,15,,2
11/16/21,93,17,,3
11/17/21,93,20,,4
11/18/21,98,25,,3
11/19/21,110,19,,2
11/20/21,114,19,,2
11/21/21,115,23,14,2
11/22/21,103,16,10,2
11/23/21,105,22,8,2
11/24/21,115,20,13,2
11/25/21,113,11,24,4
11/26/21,113,17,14,3
11/27/21,109,22,5,2
11/28/21,110,15,15,4
11/29/21,114,20,10,3
11/30/21,114,10,15,3
12/1/21,114,20,12,3
12/2/21,112,23,14,3
12/3/21,108,25,,1
12/4/21,109,17,,3
12/5/21,112,21,,3
12/6/21,111,25,,3
12/7/21,101,18,,2
12/8/21,107,10,,3
12/9/21,111,19,,3
12/10/21,115,12,32,4
12/11/21,111,24,21,5
12/12/21,108,26,8,1
12/13/21,114,13,22,2
12/14/21,111,20,20,2
12/15/21,110,19,26,3
12/16/21,114,13,17,3
12/17/21,97,25,,2
12/18/21,102,13,,3
12/19/21,85,20,,2
12/20/21,109,18,,2
12/21/21,110,5,,4
12/22/21,114,21,,3
12/23/21,116,19,,1
12/24/21,106,9,19,3
12/25/21,115,4,24,6
12/26/21,113,22,7,2
12/27/21,78,15,17,2
12/28/21,112,8,22,3
12/29/21,107,5,18,3
12/30/21,115,1,22,4
12/31/21,91,9,23,3
1/1/22,90,8,19,3
